Zone,Apartment_Type,SPL,RT60 (material ac),RT60(seconds),Element,Material,Absortion_Coefficient,Height,Surface_Area(m),Facade_Dampening(Score),Comfort_Index
GreenEdge-V3,2Bed,0.152,4.5,0.509091,Floor,Medium Pile Carpet,0.5,3,9,8.000516,0.977
Roadside-V2,2Bed,0.346,4.5,0.808707,Floor,Thick Pile Carpet,0.5,3,9,7.956256,0.993
Ind-Zone-V0,2Bed,0.576,4.05,0.588128,Ceiling,"Gypsum Plaster Tiles, 17% Perforated, 22mm",0.45,3,9,8.045809,0.851
Roadside-V2,2Bed,0.31,0.9,0.621222,Ceiling,0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab,0.1,3,0,7.958336,0.852
HD-Urban-V0,2Bed,0.423,2.43,0.802326,Ceiling,"Hardboard, 25% Perforated Over 50mm Mineral Wool",0.27,3,9,7.917583,0.868
HD-Urban-V0,2Bed,0.542,3.6,0.678609,Ceiling,"Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",0.4,3,9,8.281778,0.979
Ind-Zone-V0,2Bed,0.508,4.5,0.479167,Window,Frosted Glass + Fiberglass Board,0.5,3,9,8.326507,0.823
HD-Urban-V1,2Bed,0.357,2.736,1.196285,Window,Frosted Glass + Concrete Block (Painted),0.304,6,9,8.442847,0.975
HD-Urban-V1,2Bed,0.353,0.432,0.473762,Window,Single Pane Glass + Unpainted Brick,0.048,6,9,7.94493,0.895
HD-Urban-V0,2Bed,0.426,0.09,0.55919,Window,Glass Block + Painted Brick,0.01,6,9,7.874617,0.998
GreenEdge-V3,2Bed,0.233,0.234,0.737686,Window,Wired Glass + Painted Brick,0.026,6,9,7.840433,0.895
HD-Urban-V1,2Bed,0.352,5.031,0.687055,Door,Sliding Wood Door + Fiberglass Board,0.559,6,9,7.883748,0.828
Ind-Zone-V0,2Bed,0.542,0.45,0.588128,Wall,Gypsum Board,0.05,3,9,8.387581,0.389
Roadside-V1,2Bed,0.48,3.24,0.444547,Wall,Concrete Block (Coarse),0.36,6,9,7.839778,0.992
MD-Urban-V2,2Bed,0.252,0.9,0.556131,Floor,Wood Flooring on Joists,0.1,6,9,7.891429,0.809
HD-Urban-V1,2Bed,0.438,2.7,1.549318,Floor,Thin Carpet on Wood,0.3,6,9,8.570974,0.861
HD-Urban-V1,2Bed,0.289,2.25,0.792128,Floor,Thin Carpet on Concrete,0.25,6,9,8.854932,0.929
Roadside-V1,2Bed,0.446,4.5,0.444547,Floor,Thick Pile Carpet,0.5,6,9,8.960112,0.977
HD-Urban-V0,3Bed,0.373,2.7,0.760032,Ceiling,Plasterboard 10mm Thick Backed with 25mm Thick Bitumen,0.3,3,9,8.115855,0.984
MD-Urban-V2,3Bed,0.306,1.8,0.66636,Ceiling,50mm Mineral Wool Behind 25% Open Area Perforated Steel,0.2,3,9,8.061338,0.97
Roadside-V1,3Bed,0.463,2.25,0.649922,Ceiling,"Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",0.25,3,9,8.314923,0.501
HD-Urban-V1,3Bed,0.473,0.72,0.715026,Ceiling,Sprayed Cellulose Fiber (25mm on Solid Backing),0.08,3,9,8.362171,0.492
Roadside-V2,2Bed,0.433,0.45,1.132474,Wall,Acoustic Plaster,0.5,3,9,8.239964,0.976
HD-Urban-V0,2Bed,0.362,4.14,0.573634,Wall,Concrete Block (Painted),0.46,3,9,8.405184,0.993
HD-Urban-V0,2Bed,0.362,3.24,0.866368,Wall,Concrete Block (Coarse),0.36,6,9,8.01131,0.85
Ind-Zone-V0,2Bed,0.63,0.45,1.074527,Wall,Acoustic Plaster,0.5,6,9,7.929892,0.983
HD-Urban-V0,2Bed,0.366,0.45,0.382963,Wall,Gypsum Board,0.05,6,9,6.792288,0.8
HD-Urban-V1,2Bed,0.377,0.45,0.790184,Wall,Gypsum Board,0.05,3,9,7.595613,0.98
Roadside-V2,2Bed,0.351,5.85,0.84183,Wall,Fiberglass Board,0.65,3,9,7.316508,0.895
MD-Urban-V2,2Bed,0.296,0.45,0.690247,Wall,Gypsum Board,0.05,3,9,6.277023,0.895
Roadside-V2,2Bed,0.365,5.85,1.063877,Wall,Fiberglass Board,0.65,3,9,7.610613,0.929
HD-Urban-V1,2Bed,0.363,5.85,0.71875,Wall,Fiberglass Board,0.65,3,9,6.197023,0.493
HD-Urban-V0,2Bed,0.424,5.85,0.569072,Wall,Fiberglass Board,0.65,3,9,5.003301,0.491
Roadside-V2,2Bed,0.482,5.85,0.679564,Wall,Fiberglass Board,0.65,3,9,5.176912,0.309
HD-Urban-V0,2Bed,0.477,0.45,0.83927,Wall,Acoustic Plaster,0.5,3,9,5.271301,0.466
HD-Urban-V0,2Bed,0.366,5.85,0.382963,Wall,Fiberglass Board,0.65,3,9,7.303554,0.978
Roadside-V2,2Bed,0.392,5.85,0.66805,Wall,Fiberglass Board,0.65,3,9,7.492121,0.899
HD-Urban-V0,2Bed,0.4,0.45,1.087838,Wall,Acoustic Plaster,0.5,6,9,8.825711,0.895
GreenEdge-V3,2Bed,0.224,3.24,0.505892,Wall,Concrete Block (Coarse),0.36,3,9,8.516054,0.975
Roadside-V2,2Bed,0.392,0.45,0.66805,Wall,Gypsum Board,0.05,3,9,6.097842,0.895
HD-Urban-V0,2Bed,0.384,3.24,0.833837,Wall,Concrete Block (Coarse),0.36,6,9,7.869653,0.861
HD-Urban-V0,2Bed,0.4,3.24,1.087838,Wall,Concrete Block (Coarse),0.36,6,9,7.889853,0.929
Roadside-V2,2Bed,0.383,0.45,0.910033,Wall,Acoustic Plaster,0.5,3,9,6.779562,0.412
HD-Urban-V0,2Bed,0.39,3.24,0.565905,Wall,Concrete Block (Coarse),0.36,3,9,9.045415,0.485
Ind-Zone-V0,2Bed,0.552,0.45,0.659161,Wall,Gypsum Board,0.05,6,9,8.967054,0.443
HD-Urban-V1,2Bed,0.334,0.27,0.61178,Wall,Unpainted Brick,0.03,6,9,6.008842,0.501
Roadside-V2,2Bed,0.392,0.27,0.66805,Wall,Unpainted Brick,0.03,3,9,8.310734,0.471
Roadside-V2,2Bed,0.383,3.24,0.910033,Wall,Concrete Block (Coarse),0.36,3,9,8.203868,0.46
HD-Urban-V0,2Bed,0.39,5.85,0.565905,Wall,Fiberglass Board,0.65,3,9,8.144542,0.316
HD-Urban-V1,2Bed,0.35,0.45,0.790831,Wall,Acoustic Plaster,0.5,3,9,8.126147,0.978
HD-Urban-V1,2Bed,0.363,0.36,0.556933,Wall,Plaster with Wallpaper Backing,0.04,3,9,7.763136,0.896
HD-Urban-V1,2Bed,0.358,0.09,0.978228,Wall,Painted Brick,0.01,6,9,6.833562,0.975
HD-Urban-V0,2Bed,0.379,0.36,1.329663,Wall,Plaster with Wallpaper Backing,0.04,6,0,8.748415,0.994
HD-Urban-V0,2Bed,0.502,0.27,0.525428,Wall,Unpainted Brick,0.03,3,9,8.313183,0.309
MD-Urban-V2,2Bed,0.395,0.09,0.694714,Wall,Painted Brick,0.01,3,9,8.23542,0.401
GreenEdge-V3,2Bed,0.234,1.35,0.461428,Wall,Wood Paneling,0.15,6,9,8.825105,0.309
Roadside-V2,2Bed,0.378,1.35,0.584039,Wall,Wood Paneling,0.15,6,9,8.734798,0.477
GreenEdge-V3,2Bed,0.279,0.27,0.510706,Wall,Unpainted Brick,0.03,6,9,8.115147,0.478
Roadside-V1,2Bed,0.452,0.45,0.758539,Wall,Gypsum Board,0.05,6,9,7.665136,0.425
HD-Urban-V0,2Bed,0.366,0.36,0.382963,Wall,Plaster with Wallpaper Backing,0.04,2,9,7.889853,0.502
HD-Urban-V0,2Bed,0.366,3.24,0.382963,Wall,Concrete Block (Coarse),0.36,9,0,8.794322,0.308
HD-Urban-V0,2Bed,0.366,0.18,0.382963,Wall,Plaster on Masonry,0.02,3,9,9.121798,0.491
Ind-Zone-V0,2Bed,0.582,0.27,0.680521,Wall,Unpainted Brick,0.03,6,9,9.082104,0.994
Roadside-V2,2Bed,0.396,3.24,0.655137,Wall,Concrete Block (Coarse),0.36,6,9,9.322779,0.978
Roadside-V2,2Bed,0.374,1.35,0.520194,Wall,Wood Paneling,0.15,6,9,8.299734,0.218
Ind-Zone-V0,2Bed,0.582,1.35,0.680521,Wall,Wood Paneling,0.15,6,9,8.192868,0.466
Roadside-V2,2Bed,0.396,0.27,0.655137,Wall,Unpainted Brick,0.03,6,9,8.133542,0.477
GreenEdge-V3,2Bed,0.187,0.09,0.713178,Wall,Painted Brick,0.01,6,9,7.249541,0.895
Roadside-V2,3Bed,0.438,0.333,0.637905,Window,Small Pane Glass + Plaster with Wallpaper Backing,0.037,3,9,8.233807,0.48
HD-Urban-V0,3Bed,0.424,0.198,0.590224,Window,Glass Block + Unpainted Brick,0.022,3,9,8.167691,0.467
HD-Urban-V1,3Bed,0.35,0.135,0.696802,Window,Insulated Glazing Unit + Painted Brick,0.015,3,9,8.224903,0.399
HD-Urban-V1,3Bed,0.351,1.224,0.836847,Door,Solid Wood Door + Wood Paneling,0.136,6,9,8.731087,0.963
Roadside-V2,2Bed,0.374,0.27,0.520194,Wall,Unpainted Brick,0.03,6,9,8.018642,0.94
Ind-Zone-V0,2Bed,0.582,0.45,0.680521,Wall,Acoustic Plaster,0.5,6,9,7.386519,0.805
Ind-Zone-V0,3Bed,0.582,0.09,0.641861,Floor,Marble,0.01,6,9,8.163538,0.887
Roadside-V2,3Bed,0.341,2.25,0.650359,Floor,Thin Carpet on Concrete,0.25,6,9,8.137454,0.975
HD-Urban-V0,3Bed,0.413,4.59,1.084987,Ceiling,Underlay in Perforated Metal Panels (25mm Batts),0.51,6,9,8.147445,0.983
HD-Urban-V0,3Bed,0.416,2.7,0.955175,Ceiling,Perforated Underside of Structural Steel Decking,0.3,6,9,8.32101,0.846
Ind-Zone-V0,3Bed,0.552,4.167,0.81772,Window,Glass Block + Fiberglass Board,0.463,6,9,8.28306,0.979
HD-Urban-V1,3Bed,0.369,0.162,0.96729,Window,Insulated Glazing Unit + Painted Brick,0.018,6,9,8.299734,0.992
HD-Urban-V1,3Bed,0.393,2.646,0.775074,Window,Single Pane Glass + Concrete Block (Coarse),0.294,6,9,8.192868,0.993
HD-Urban-V0,1Bed,0.369,2.889,0.472021,Door,Plywood Door + Concrete Block (Coarse),0.321,3,9,8.133542,0.805
Roadside-V2,2Bed,0.396,0.18,0.655137,Wall,Plaster on Masonry,0.02,6,9,7.39548,0.494
GreenEdge-V3,2Bed,0.265,0.27,1.085393,Wall,Unpainted Brick,0.03,3,9,9.784237,0.331
HD-Urban-V1,1Bed,0.336,0.63,0.476914,Floor,Wood Parquet,0.07,3,9,5.000553,0.985
GreenEdge-V3,1Bed,0.265,2.25,0.516147,Floor,Thin Carpet on Concrete,0.25,3,9,7.244554,0.975
Roadside-V2,1Bed,0.421,0.9,0.425089,Ceiling,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.1,3,9,5.578949,0.984
Roadside-V2,1Bed,0.367,1.8,0.444038,Ceiling,"Plaster Decorative Panels, Ceilings",0.2,3,9,8.277864,0.805
HD-Urban-V0,1Bed,0.435,0.585,0.312999,Window,Laminated Glass + Painted Brick,0.065,3,9,8.105833,0.967
HD-Urban-V1,1Bed,0.35,2.124,0.892177,Window,Large Pane Glass + Concrete Block (Coarse),0.236,3,9,7.526723,0.94
HD-Urban-V1,1Bed,0.321,0.792,0.389294,Window,Laminated Glass + Gypsum Board,0.088,3,9,7.169819,0.8
GreenEdge-V3,1Bed,0.206,0.981,0.282936,Door,Acoustic Door + Gypsum Board,0.109,6,9,5.637067,0.976
Roadside-V2,2Bed,0.41,0.27,0.710033,Wall,Unpainted Brick,0.03,3,9,10.322275,0.4
GreenEdge-V3,2Bed,0.181,3.24,0.662097,Wall,Concrete Block (Coarse),0.36,12,9,8.479339,0.479
Roadside-V2,1Bed,0.378,0.09,0.329545,Floor,Terrazzo,0.01,6,9,6.077201,0.884
HD-Urban-V0,1Bed,0.384,2.7,0.32698,Floor,Thin Carpet on Wood,0.3,6,9,4.714912,0.977
HD-Urban-V0,1Bed,0.408,3.6,0.578233,Ceiling,"Plywood, 12mm, with 30mm Thick Fibreglass Backing Between 30mm Battens",0.4,6,9,4.534187,0.993
Ind-Zone-V0,1Bed,0.571,4.05,0.416657,Ceiling,"Gypsum Plaster Tiles, 17% Perforated, 22mm",0.45,6,9,6.860765,0.851
HD-Urban-V0,2Bed,0.419,0.45,0.525428,Window,Wired Glass + Gypsum Board,0.05,3,9,6.195199,0.852
MD-Urban-V2,2Bed,0.33,0.513,0.694714,Window,Single Pane Glass + Unpainted Brick,0.057,3,9,6.375725,0.868
Roadside-V1,2Bed,0.522,3.465,0.846997,Window,Wired Glass + Acoustic Plaster,0.385,3,9,4.619048,0.979
HD-Urban-V1,2Bed,0.336,5.238,0.652923,Door,Laminated Glass Door + Fiberglass Board,0.582,3,9,6.953196,0.823
HD-Urban-V1,2Bed,0.343,0.45,0.519914,Wall,Gypsum Board,0.05,12,9,8.89501,0.398
HD-Urban-V0,2Bed,0.433,0.27,0.653365,Wall,Unpainted Brick,0.03,9,9,6.576256,0.309
Roadside-V2,2Bed,0.383,4.5,0.910033,Floor,Medium Pile Carpet,0.5,3,9,2.063822,0.998
HD-Urban-V0,2Bed,0.39,0.09,0.565905,Floor,Marble,0.01,3,9,5.003301,0.895
HD-Urban-V1,2Bed,0.35,1.8,0.790831,Ceiling,50mm Mineral Wool Behind 25% Open Area Perforated Steel,0.2,3,9,7.37033,0.963
HD-Urban-V1,2Bed,0.363,1.35,0.556933,Ceiling,Plasterboard (12mm) in Suspended Ceiling Grid,0.15,3,9,8.18474,0.997
GreenEdge-V3,2Bed,0.187,4.302,0.461428,Window,Frosted Glass + Fiberglass Board,0.478,6,9,7.914176,0.828
Roadside-V2,2Bed,0.404,0.342,0.584039,Window,Wired Glass + Unpainted Brick,0.038,6,9,7.895235,0.85
Ind-Zone-V0,2Bed,0.552,4.428,0.555492,Window,Insulated Glazing Unit + Fiberglass Board,0.492,6,9,7.87857,0.983
Roadside-V2,2Bed,0.362,1.422,0.48665,Door,Laminated Glass Door + Wood Paneling,0.158,6,9,7.877551,0.809
HD-Urban-V0,2Bed,0.366,4.14,0.382963,Wall,Concrete Block (Painted),0.46,3,9,6.629998,0.486
HD-Urban-V0,2Bed,0.374,0.09,0.530014,Wall,Painted Brick,0.01,6,9,9.645989,0.85
Ind-Zone-V0,2Bed,0.552,0.09,0.659161,Floor,Marble,0.01,6,9,7.888602,0.977
HD-Urban-V1,2Bed,0.334,0.09,0.61178,Floor,Terrazzo,0.01,6,9,7.879121,0.984
HD-Urban-V1,2Bed,0.358,1.08,0.978228,Ceiling,"Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",0.12,6,9,7.879596,0.97
Roadside-V2,2Bed,0.394,0.18,0.73516,Wall,Plaster on Masonry,0.02,6,9,10.125804,0.985
HD-Urban-V0,2Bed,0.436,5.85,0.966967,Wall,Fiberglass Board,0.65,6,9,6.395835,0.819
HD-Urban-V1,2Bed,0.313,5.85,0.532231,Wall,Fiberglass Board,0.65,6,9,7.448414,0.94
MD-Urban-V2,2Bed,0.252,1.35,0.606593,Wall,Wood Paneling,0.15,9,9,3.223635,0.484
GreenEdge-V3,2Bed,0.224,0.09,0.676471,Wall,Painted Brick,0.01,3,9,7.448414,0.85
Roadside-V2,2Bed,0.422,4.14,0.807018,Wall,Concrete Block (Painted),0.46,6,9,6.395835,0.503
Roadside-V2,2Bed,0.394,0.18,0.73516,Wall,Plaster on Masonry,0.02,6,9,6.06579,0.483
HD-Urban-V1,2Bed,0.382,5.85,0.737123,Wall,Fiberglass Board,0.65,6,9,6.818726,0.48
HD-Urban-V0,2Bed,0.409,4.14,0.670833,Wall,Concrete Block (Painted),0.46,9,9,7.34998,0.984
HD-Urban-V0,1Bed,0.408,0.09,0.578233,Floor,Marble,0.01,6,9,5.034553,0.34
Ind-Zone-V0,1Bed,0.571,2.7,0.416657,Floor,Thin Carpet on Wood,0.3,6,9,7.310554,0.468
HD-Urban-V0,2Bed,0.419,1.8,0.525428,Ceiling,"Plaster Decorative Panels, Ceilings",0.2,3,9,5.526949,0.496
MD-Urban-V2,2Bed,0.33,0.09,0.694714,Ceiling,"Plaster (Gypsum or Lime, on Masonry)",0.01,3,9,8.350864,0.486
Roadside-V1,2Bed,0.522,0.387,0.846997,Window,Single Pane Glass + Plaster on Masonry,0.043,3,9,7.798833,0.467
HD-Urban-V1,2Bed,0.336,0.198,0.652923,Window,Large Pane Glass + Painted Brick,0.022,3,9,7.799723,0.309
GreenEdge-V3,2Bed,0.224,4.428,0.505892,Window,Small Pane Glass + Fiberglass Board,0.492,3,9,6.856819,0.309
Roadside-V2,2Bed,0.392,4.095,0.66805,Door,Laminated Glass Door + Acoustic Plaster,0.455,3,9,5.637067,0.5
Roadside-V2,2Bed,0.422,0.27,0.807018,Wall,Unpainted Brick,0.03,6,9,7.668323,0.846
Roadside-V2,2Bed,0.394,1.35,0.73516,Wall,Wood Paneling,0.15,6,0,1.269878,0.851
HD-Urban-V1,2Bed,0.35,0.09,0.790831,Floor,Marble,0.01,3,9,6.147201,0.366
HD-Urban-V1,2Bed,0.363,0.09,0.556933,Floor,Terrazzo,0.01,3,9,5.176912,0.485
GreenEdge-V3,2Bed,0.187,0.72,0.461428,Ceiling,Sprayed Cellulose Fiber (25mm on Solid Backing),0.08,6,9,4.601187,0.372
Roadside-V2,2Bed,0.404,3.6,0.584039,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,0.4,6,9,6.755765,0.483
Ind-Zone-V0,2Bed,0.552,0.423,0.555492,Window,Large Pane Glass + Gypsum Board,0.047,6,9,6.466199,0.327
Roadside-V2,2Bed,0.362,0.252,0.48665,Window,Large Pane Glass + Plaster on Masonry,0.028,6,9,6.380725,0.48
HD-Urban-V0,2Bed,0.384,2.511,0.833837,Window,Large Pane Glass + Concrete Block (Coarse),0.279,6,9,4.619048,0.489
HD-Urban-V0,2Bed,0.4,1.422,1.087838,Door,Laminated Glass Door + Wood Paneling,0.158,6,9,7.326196,0.354
HD-Urban-V0,2Bed,0.402,0.27,0.624233,Wall,Unpainted Brick,0.03,6,9,6.65976,0.993
HD-Urban-V0,2Bed,0.416,0.45,0.820731,Wall,Gypsum Board,0.05,6,9,5.576963,0.997
HD-Urban-V1,2Bed,0.358,0.09,0.978228,Floor,Terrazzo,0.01,6,9,2.063822,0.324
HD-Urban-V0,2Bed,0.379,0.9,1.329663,Floor,Wood Flooring on Joists,0.1,6,9,5.271301,0.498
GreenEdge-V3,2Bed,0.223,1.71,0.510706,Ceiling,"Metal Deck (Perforated Channels, 25mm Batts)",0.19,6,9,7.26333,0.324
Roadside-V1,2Bed,0.427,0.09,0.758539,Ceiling,"Plaster (Gypsum or Lime, on Masonry)",0.01,6,9,8.12074,0.479
HD-Urban-V0,3Bed,0.419,4.617,1.047344,Window,Double Pane Glass + Fiberglass Board,0.513,3,9,7.538176,0.328
MD-Urban-V2,3Bed,0.311,0.27,0.827764,Window,Small Pane Glass + Unpainted Brick,0.03,3,9,7.519235,0.477
Roadside-V1,3Bed,0.499,3.42,0.802326,Window,Insulated Glazing Unit + Acoustic Plaster,0.38,3,9,7.50257,0.502
HD-Urban-V1,3Bed,0.354,3.951,0.606911,Door,Plywood Door + Acoustic Plaster,0.439,3,9,7.501551,0.304
Ind-Zone-V0,2Bed,0.552,3.24,0.799007,Wall,Concrete Block (Coarse),0.36,6,9,8.279808,0.99
Ind-Zone-V0,2Bed,0.538,0.45,0.621622,Wall,Gypsum Board,0.05,9,0,7.941911,0.985
Roadside-V2,3Bed,0.438,0.09,0.637905,Floor,Marble,0.01,3,9,7.512602,0.482
HD-Urban-V0,3Bed,0.424,0.09,0.590224,Floor,Terrazzo,0.01,3,9,7.503121,0.963
HD-Urban-V1,3Bed,0.35,3.78,0.696802,Ceiling,"Mineral Wool Tiles, 180mm Airspace",0.42,3,9,7.503596,0.868
HD-Urban-V1,3Bed,0.351,0.45,0.836847,Ceiling,Sprayed Cellulose Fiber (16mm on Solid Backing),0.05,6,9,7.490751,0.993
GreenEdge-V3,3Bed,0.206,0.351,0.799448,Window,Frosted Glass + Unpainted Brick,0.039,6,9,7.53827,0.738
Roadside-V2,3Bed,0.374,0.45,0.706485,Window,Wired Glass + Gypsum Board,0.05,6,9,7.537819,0.805
Ind-Zone-V0,3Bed,0.582,1.467,0.641861,Window,Laminated Glass + Wood Paneling,0.163,6,9,7.516979,0.975
Roadside-V2,3Bed,0.341,5.238,0.650359,Door,Laminated Glass Door + Fiberglass Board,0.582,6,9,8.834231,0.985
MD-Urban-V2,2Bed,0.252,3.24,0.606593,Wall,Concrete Block (Coarse),0.36,9,9,11.256755,0.805
HD-Urban-V0,2Bed,0.419,3.24,0.598513,Wall,Concrete Block (Coarse),0.36,3,9,7.618751,0.805
Ind-Zone-V0,3Bed,0.552,1.35,0.81772,Floor,Cork Floor Tiles,0.15,6,9,8.651211,0.339
HD-Urban-V1,3Bed,0.369,4.5,0.96729,Floor,Thick Pile Carpet,0.5,6,9,8.836711,0.488
HD-Urban-V1,3Bed,0.393,3.6,0.775074,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,0.4,6,9,9.006529,0.393
HD-Urban-V0,1Bed,0.369,0.9,0.472021,Ceiling,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.1,3,9,8.509489,0.478
MD-Urban-V2,1Bed,0.296,0.153,0.942661,Window,Glazed Ceramic Tile + Plaster on Masonry,0.017,3,9,8.653346,0.492
Roadside-V1,1Bed,0.465,0.252,0.645012,Window,Glass Block + Plaster with Wallpaper Backing,0.028,3,9,8.778628,0.479
HD-Urban-V1,1Bed,0.336,0.522,0.476914,Window,Laminated Glass + Painted Brick,0.058,3,9,8.373777,0.398
GreenEdge-V3,1Bed,0.265,0.909,0.516147,Door,Acoustic Door + Plaster with Wallpaper Backing,0.101,3,9,8.418322,0.421
MD-Urban-V2,2Bed,0.353,0.18,0.42602,Wall,Plaster on Masonry,0.02,3,9,7.668323,0.895
Roadside-V1,2Bed,0.48,0.36,0.654028,Wall,Plaster with Wallpaper Backing,0.04,3,9,1.269878,0.967
HD-Urban-V0,1Bed,0.435,0.63,0.312999,Floor,Wood Parquet,0.07,3,9,8.495332,0.48
HD-Urban-V1,1Bed,0.35,0.9,0.892177,Floor,Wood Flooring on Joists,0.1,3,9,8.557606,0.421
HD-Urban-V1,1Bed,0.321,4.59,0.389294,Ceiling,Underlay in Perforated Metal Panels (25mm Batts),0.51,3,9,8.53621,0.491
GreenEdge-V3,1Bed,0.206,2.7,0.282936,Ceiling,Plasterboard 10mm Thick Backed with 25mm Thick Bitumen,0.3,6,9,8.322517,0.395
Roadside-V2,1Bed,0.423,1.089,0.497286,Window,Wired Glass + Wood Paneling,0.121,6,9,8.244807,0.497
Ind-Zone-V0,1Bed,0.566,0.567,0.577887,Window,Single Pane Glass + Plaster with Wallpaper Backing,0.063,6,9,8.178691,0.499
Roadside-V2,1Bed,0.378,4.77,0.329545,Window,Double Pane Glass + Fiberglass Board,0.53,6,9,8.235903,0.487
HD-Urban-V0,1Bed,0.384,0.513,0.32698,Door,Hollow-Core Wood Door + Plaster with Wallpaper Backing,0.057,6,9,8.742087,0.487
HD-Urban-V1,2Bed,0.307,0.18,0.671533,Wall,Plaster on Masonry,0.02,3,9,8.784418,0.828
GreenEdge-V3,2Bed,0.224,0.09,0.676471,Wall,Painted Brick,0.01,3,9,6.959028,0.895
HD-Urban-V0,2Bed,0.419,0.9,0.525428,Floor,Wood Flooring on Joists,0.1,3,9,8.174538,0.465
MD-Urban-V2,2Bed,0.33,2.7,0.694714,Floor,Thin Carpet on Wood,0.3,3,0,8.148454,0.308
Roadside-V1,2Bed,0.522,2.25,0.846997,Ceiling,"100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.25,3,9,8.158445,0.489
HD-Urban-V1,2Bed,0.336,2.25,0.652923,Ceiling,"Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",0.25,3,9,8.33201,0.414
GreenEdge-V3,2Bed,0.224,3.87,0.505892,Door,Single Pane Glass Door + Acoustic Plaster,0.43,3,9,8.29406,0.42
Roadside-V2,2Bed,0.378,0.09,0.604884,Wall,Painted Brick,0.01,6,9,6.159456,0.471
HD-Urban-V0,2Bed,0.402,0.09,0.624233,Wall,Painted Brick,0.01,6,9,3.223635,0.257
HD-Urban-V1,2Bed,0.382,0.27,0.737123,Wall,Unpainted Brick,0.03,6,0,12.610713,0.496
HD-Urban-V0,2Bed,0.409,1.35,0.670833,Wall,Wood Paneling,0.15,9,9,13.162987,0.48
GreenEdge-V3,1Bed,0.217,0.27,0.721471,Wall,Unpainted Brick,0.03,3,9,7.121975,0.486
GreenEdge-V3,2Bed,0.187,1.35,0.461428,Floor,Cork Floor Tiles,0.15,6,9,4.967553,0.985
Roadside-V2,2Bed,0.404,0.27,0.584039,Floor,Vinyl Tile,0.03,6,9,7.303554,0.984
Ind-Zone-V0,2Bed,0.552,4.5,0.555492,Ceiling,"100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",0.5,6,9,5.578949,0.738
Roadside-V2,2Bed,0.362,3.6,0.48665,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,0.4,6,9,8.208864,0.805
HD-Urban-V0,2Bed,0.384,0.324,0.833837,Window,Wired Glass + Unpainted Brick,0.036,6,9,8.146833,0.975
HD-Urban-V0,2Bed,0.4,0.738,1.087838,Window,Double Pane Glass + Plaster on Masonry,0.082,6,9,7.515723,0.805
Ind-Zone-V0,2Bed,0.552,2.484,0.659161,Window,Small Pane Glass + Concrete Block (Coarse),0.276,6,9,6.889819,0.917
HD-Urban-V1,2Bed,0.334,5.013,0.61178,Door,Single Pane Glass Door + Fiberglass Board,0.557,6,9,5.637067,0.985
Roadside-V2,1Bed,0.413,1.35,1.0122,Wall,Wood Paneling,0.15,3,9,5.72443,0.467
HD-Urban-V0,1Bed,0.353,0.45,0.664096,Wall,Gypsum Board,0.05,9,9,7.663899,0.496
GreenEdge-V3,2Bed,0.223,0.27,0.510706,Floor,Vinyl Tile,0.03,6,9,6.088201,0.978
Roadside-V1,2Bed,0.427,2.25,0.758539,Floor,Thin Carpet on Concrete,0.25,6,9,4.714912,0.986
HD-Urban-V0,3Bed,0.419,4.59,1.047344,Ceiling,Underlay in Perforated Metal Panels (25mm Batts),0.51,3,9,4.521187,0.996
MD-Urban-V2,3Bed,0.311,2.43,0.827764,Ceiling,"Hardboard, 25% Perforated Over 50mm Mineral Wool",0.27,3,9,6.712765,0.922
Roadside-V1,3Bed,0.499,0.27,0.802326,Window,Small Pane Glass + Unpainted Brick,0.03,3,9,6.223199,0.981
HD-Urban-V1,3Bed,0.354,2.016,0.606911,Window,Glass Block + Concrete Block (Coarse),0.224,3,9,6.354725,0.823
GreenEdge-V3,3Bed,0.242,4.473,0.809271,Window,Wired Glass + Fiberglass Board,0.497,3,9,4.619048,0.993
Roadside-V2,3Bed,0.37,0.288,0.938472,Door,Single Pane Glass Door + Unpainted Brick,0.032,3,9,7.101196,0.993
HD-Urban-V0,1Bed,0.359,0.18,0.899153,Wall,Plaster on Masonry,0.02,9,9,5.992022,0.828
HD-Urban-V0,1Bed,0.378,3.24,0.548157,Wall,Concrete Block (Coarse),0.36,12,9,9.682037,0.372
