zone_string,apartment_type_string,floor_height_m,laeq_db,period,total_surface_sqm,element_materials_string,absorption_coefficient_by_area_m,rt60_s,n._of_sound_sources_int,average_sound_source_distance_m,spl_db,barrier_distance_m,barrier_height_m,spl_after_barrier_db,spl_after_façade_dampening_db,comfort_index_float,wall_material,window_material,door_material,floor_material,ceiling_material,element_materials_string_raw,Window_Material,Wall_Material,Door_Material,Floor_Material,Ceiling_Material
Roadside-V1,2Bed,9,49.93,night,126,"Window: Glazed Ceramic Tile and Fiberglass Board; Window: Glazed Ceramic Tile and Plaster on Masonry; Door: Acoustic Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Painted Brick; Wall: Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Vinyl Tile; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing)",0.64549,0.524288,2,17.374002,29.38481,0.8,0,29.38481,21.096587,0.678,Gypsum Board,Glazed Ceramic Tile and Fiberglass Board,Acoustic Door and Concrete Block (Coarse),Medium Pile Carpet,"Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool","Window: Glazed Ceramic Tile and Fiberglass Board; Window: Glazed Ceramic Tile and Plaster on Masonry; Door: Acoustic Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Painted Brick; Wall: Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Vinyl Tile; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing)",Glazed Ceramic Tile and Fiberglass Board,Gypsum Board,Acoustic Door and Concrete Block (Coarse),Medium Pile Carpet,"Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool"
GreenEdge-V3,2Bed,9,26.57,night,126,"Window: Laminated Glass and Concrete Block (Painted); Window: Glazed Ceramic Tile and Painted Brick; Window: Laminated Glass and Unpainted Brick; Door: Fire-Rated Door with Mineral Core and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Acoustic Plaster; Wall: Concrete Block (Coarse); Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Flooring on Joists; Floor: Wood Parquet; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing)",0.547498,0.575342,3,11.295737,29.835067,0.8,0,29.835067,19.656982,0.929,Concrete Block (Painted),Laminated Glass and Concrete Block (Painted),Fire-Rated Door with Mineral Core and Concrete Block (Coarse),Wood Parquet,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void","Window: Laminated Glass and Concrete Block (Painted); Window: Glazed Ceramic Tile and Painted Brick; Window: Laminated Glass and Unpainted Brick; Door: Fire-Rated Door with Mineral Core and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Acoustic Plaster; Wall: Concrete Block (Coarse); Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Flooring on Joists; Floor: Wood Parquet; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing)",Laminated Glass and Concrete Block (Painted),Concrete Block (Painted),Fire-Rated Door with Mineral Core and Concrete Block (Coarse),Wood Parquet,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void"
HD-Urban-V0,2Bed,9,12.42,night,126,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Fiberglass Board; Window: Large Pane Glass and Plaster on Masonry; Door: Single Pane Glass Door and Unpainted Brick; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Marble; Floor: Vinyl Tile; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab",0.250524,0.816223,3,12.662155,2.165949,0.8,0,2.165949,0.39625,1.0,Fiberglass Board,Double Pane Glass and Plaster with Wallpaper Backing,Single Pane Glass Door and Unpainted Brick,Thick Pile Carpet,"Metal Deck (Perforated Channels, 25mm Batts)","Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Fiberglass Board; Window: Large Pane Glass and Plaster on Masonry; Door: Single Pane Glass Door and Unpainted Brick; Wall: Fiberglass Board; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Marble; Floor: Vinyl Tile; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab",Double Pane Glass and Plaster with Wallpaper Backing,Fiberglass Board,Single Pane Glass Door and Unpainted Brick,Thick Pile Carpet,"Metal Deck (Perforated Channels, 25mm Batts)"
Roadside-V1,2Bed,9,50.32,day,126,"Window: Glazed Ceramic Tile and Unpainted Brick; Window: Large Pane Glass and Concrete Block (Coarse); Door: Fire-Rated Door with Mineral Core and Painted Brick; Wall: Fiberglass Board; Wall: Unpainted Brick; Wall: Painted Brick; Wall: Gypsum Board; Wall: Gypsum Board; Floor: Wood Flooring on Joists; Floor: Wood Parquet; Floor: Vinyl Tile; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",0.0905,1.05401,2,21.054611,31.132911,0.8,0,31.132911,22.541458,0.673,Fiberglass Board,Glazed Ceramic Tile and Unpainted Brick,Fire-Rated Door with Mineral Core and Painted Brick,Wood Flooring on Joists,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,"Window: Glazed Ceramic Tile and Unpainted Brick; Window: Large Pane Glass and Concrete Block (Coarse); Door: Fire-Rated Door with Mineral Core and Painted Brick; Wall: Fiberglass Board; Wall: Unpainted Brick; Wall: Painted Brick; Wall: Gypsum Board; Wall: Gypsum Board; Floor: Wood Flooring on Joists; Floor: Wood Parquet; Floor: Vinyl Tile; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",Glazed Ceramic Tile and Unpainted Brick,Fiberglass Board,Fire-Rated Door with Mineral Core and Painted Brick,Wood Flooring on Joists,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind
GreenEdge-V3,2Bed,9,41.77,day,126,"Window: Insulated Glazing Unit and Wood Paneling; Window: Insulated Glazing Unit and Unpainted Brick; Window: Large Pane Glass and Gypsum Board; Door: Sliding Wood Door and Acoustic Plaster; Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Floor: Marble; Floor: Cork Floor Tiles; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab; Ceiling: Wood Tongue-and-Groove Roof Decking",0.529218,0.585987,3,11.295737,7.723967,0.8,0,7.723967,0.754883,0.766,Concrete Block (Painted),Insulated Glazing Unit and Wood Paneling,Sliding Wood Door and Acoustic Plaster,Marble,"Mineral Wool Tiles, 180mm Airspace","Window: Insulated Glazing Unit and Wood Paneling; Window: Insulated Glazing Unit and Unpainted Brick; Window: Large Pane Glass and Gypsum Board; Door: Sliding Wood Door and Acoustic Plaster; Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Floor: Marble; Floor: Cork Floor Tiles; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab; Ceiling: Wood Tongue-and-Groove Roof Decking",Insulated Glazing Unit and Wood Paneling,Concrete Block (Painted),Sliding Wood Door and Acoustic Plaster,Marble,"Mineral Wool Tiles, 180mm Airspace"
HD-Urban-V0,2Bed,9,49.71,day,126,"Window: Frosted Glass and Wood Paneling; Window: Glass Block and Wood Paneling; Door: Acoustic Door and Concrete Block (Coarse); Wall: Concrete Block (Coarse); Wall: Concrete Block (Coarse); Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Plaster with Wallpaper Backing; Floor: Medium Pile Carpet; Floor: Thin Carpet on Wood; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, 180mm Airspace",0.468684,0.624233,2,18.515843,3.732409,0.8,0,3.732409,3.067825,0.68,Concrete Block (Coarse),Frosted Glass and Wood Paneling,Acoustic Door and Concrete Block (Coarse),Medium Pile Carpet,"Mineral Wool Tiles, Glued/Screwed to Soffit","Window: Frosted Glass and Wood Paneling; Window: Glass Block and Wood Paneling; Door: Acoustic Door and Concrete Block (Coarse); Wall: Concrete Block (Coarse); Wall: Concrete Block (Coarse); Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Plaster with Wallpaper Backing; Floor: Medium Pile Carpet; Floor: Thin Carpet on Wood; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, 180mm Airspace",Frosted Glass and Wood Paneling,Concrete Block (Coarse),Acoustic Door and Concrete Block (Coarse),Medium Pile Carpet,"Mineral Wool Tiles, Glued/Screwed to Soffit"
Roadside-V1,2Bed,9,50.35,day,126,"Window: Wired Glass and Wood Paneling; Window: Frosted Glass and Unpainted Brick; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Fiberglass Board; Floor: Thick Pile Carpet; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Ceiling: Sprayed Cellulose Fiber (16mm on Solid Backing); Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.76386,0.473529,3,12.662155,19.940781,0.8,0,19.940781,6.409875,0.673,Acoustic Plaster,Wired Glass and Wood Paneling,Double Pane Glass Door and Wood Paneling,Thick Pile Carpet,Sprayed Cellulose Fiber (16mm on Solid Backing),"Window: Wired Glass and Wood Paneling; Window: Frosted Glass and Unpainted Brick; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Fiberglass Board; Floor: Thick Pile Carpet; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Ceiling: Sprayed Cellulose Fiber (16mm on Solid Backing); Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",Wired Glass and Wood Paneling,Acoustic Plaster,Double Pane Glass Door and Wood Paneling,Thick Pile Carpet,Sprayed Cellulose Fiber (16mm on Solid Backing)
GreenEdge-V3,2Bed,9,34.58,day,126,"Window: Glass Block and Concrete Block (Coarse); Window: Large Pane Glass and Concrete Block (Coarse); Door: Single Pane Glass Door and Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Gypsum Board; Wall: Plaster with Wallpaper Backing; Wall: Fiberglass Board; Wall: Concrete Block (Painted); Floor: Cork Floor Tiles; Floor: Wood Parquet; Floor: Medium Pile Carpet; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",0.596644,0.548552,2,18.439782,13.085197,0.8,0,13.085197,6.689574,0.843,Plaster with Wallpaper Backing,Glass Block and Concrete Block (Coarse),Single Pane Glass Door and Painted Brick,Cork Floor Tiles,"Metal Deck (Perforated Channels, 25mm Batts)","Window: Glass Block and Concrete Block (Coarse); Window: Large Pane Glass and Concrete Block (Coarse); Door: Single Pane Glass Door and Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Gypsum Board; Wall: Plaster with Wallpaper Backing; Wall: Fiberglass Board; Wall: Concrete Block (Painted); Floor: Cork Floor Tiles; Floor: Wood Parquet; Floor: Medium Pile Carpet; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",Glass Block and Concrete Block (Coarse),Plaster with Wallpaper Backing,Single Pane Glass Door and Painted Brick,Cork Floor Tiles,"Metal Deck (Perforated Channels, 25mm Batts)"
HD-Urban-V0,2Bed,9,56.49,day,126,"Window: Glazed Ceramic Tile and Unpainted Brick; Window: Small Pane Glass and Unpainted Brick; Window: Frosted Glass and Plaster with Wallpaper Backing; Door: Sliding Wood Door and Fiberglass Board; Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Acoustic Plaster; Wall: Gypsum Board; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Wood Parquet; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Mineral Wool Tiles, 180mm Airspace",0.33593,0.728507,3,11.295737,9.223626,0.8,0,9.223626,0.781036,0.607,Plaster on Masonry,Glazed Ceramic Tile and Unpainted Brick,Sliding Wood Door and Fiberglass Board,Cork Floor Tiles,Plasterboard (12mm) in Suspended Ceiling Grid,"Window: Glazed Ceramic Tile and Unpainted Brick; Window: Small Pane Glass and Unpainted Brick; Window: Frosted Glass and Plaster with Wallpaper Backing; Door: Sliding Wood Door and Fiberglass Board; Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Acoustic Plaster; Wall: Gypsum Board; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Wood Parquet; Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Mineral Wool Tiles, 180mm Airspace",Glazed Ceramic Tile and Unpainted Brick,Plaster on Masonry,Sliding Wood Door and Fiberglass Board,Cork Floor Tiles,Plasterboard (12mm) in Suspended Ceiling Grid
Roadside-V1,2Bed,9,52.57,day,126,"Window: Frosted Glass and Fiberglass Board; Window: Frosted Glass and Acoustic Plaster; Window: Laminated Glass and Fiberglass Board; Window: Glass Block and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Painted Brick; Wall: Fiberglass Board; Wall: Painted Brick; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Floor: Terrazzo; Ceiling: Sprayed Cellulose Fiber (75mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind",1.0,0.396878,4,12.877022,32.332183,0.8,0,32.332183,24.776083,0.649,Fiberglass Board,Frosted Glass and Fiberglass Board,Steel Door with Acoustic Treatment and Painted Brick,Thick Pile Carpet,Sprayed Cellulose Fiber (75mm on Solid Backing),"Window: Frosted Glass and Fiberglass Board; Window: Frosted Glass and Acoustic Plaster; Window: Laminated Glass and Fiberglass Board; Window: Glass Block and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Painted Brick; Wall: Fiberglass Board; Wall: Painted Brick; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Floor: Terrazzo; Ceiling: Sprayed Cellulose Fiber (75mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind",Frosted Glass and Fiberglass Board,Fiberglass Board,Steel Door with Acoustic Treatment and Painted Brick,Thick Pile Carpet,Sprayed Cellulose Fiber (75mm on Solid Backing)
GreenEdge-V3,2Bed,9,30.03,night,126,"Window: Double Pane Glass and Concrete Block (Painted); Window: Laminated Glass and Acoustic Plaster; Window: Single Pane Glass and Fiberglass Board; Door: Hollow-Core Wood Door and Concrete Block (Painted); Wall: Concrete Block (Coarse); Wall: Unpainted Brick; Wall: Gypsum Board; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Marble; Floor: Medium Pile Carpet; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath); Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",0.785136,0.46543,3,11.295737,9.657862,0.8,0,9.657862,4.193096,0.892,Concrete Block (Coarse),Double Pane Glass and Concrete Block (Painted),Hollow-Core Wood Door and Concrete Block (Painted),Wood Parquet,"Hardboard, 25% Perforated Over 50mm Mineral Wool","Window: Double Pane Glass and Concrete Block (Painted); Window: Laminated Glass and Acoustic Plaster; Window: Single Pane Glass and Fiberglass Board; Door: Hollow-Core Wood Door and Concrete Block (Painted); Wall: Concrete Block (Coarse); Wall: Unpainted Brick; Wall: Gypsum Board; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Marble; Floor: Medium Pile Carpet; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath); Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",Double Pane Glass and Concrete Block (Painted),Concrete Block (Coarse),Hollow-Core Wood Door and Concrete Block (Painted),Wood Parquet,"Hardboard, 25% Perforated Over 50mm Mineral Wool"
Roadside-V2,2Bed,9,53.09,day,126,"Window: Frosted Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Plaster with Wallpaper Backing; Window: Small Pane Glass and Plaster on Masonry; Door: Steel Door with Acoustic Treatment and Gypsum Board; Wall: Unpainted Brick; Wall: Fiberglass Board; Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Wood Parquet; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.713215,0.493991,3,11.295737,31.473648,0.8,0,31.473648,18.955105,0.644,Unpainted Brick,Frosted Glass and Concrete Block (Coarse),Steel Door with Acoustic Treatment and Gypsum Board,Thin Carpet on Wood,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,"Window: Frosted Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Plaster with Wallpaper Backing; Window: Small Pane Glass and Plaster on Masonry; Door: Steel Door with Acoustic Treatment and Gypsum Board; Wall: Unpainted Brick; Wall: Fiberglass Board; Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Wood Parquet; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",Frosted Glass and Concrete Block (Coarse),Unpainted Brick,Steel Door with Acoustic Treatment and Gypsum Board,Thin Carpet on Wood,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind
HD-Urban-V0,2Bed,9,35.63,day,126,"Window: Frosted Glass and Wood Paneling; Window: Single Pane Glass and Gypsum Board; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Wood Paneling; Door: Solid Wood Door and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Gypsum Board; Wall: Gypsum Board; Floor: Wood Parquet; Floor: Wood Flooring on Joists; Floor: Terrazzo; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",0.317351,0.745946,4,11.438644,38.652562,0.8,0,38.652562,27.450695,0.685,Concrete Block (Painted),Frosted Glass and Wood Paneling,Solid Wood Door and Concrete Block (Coarse),Wood Parquet,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void","Window: Frosted Glass and Wood Paneling; Window: Single Pane Glass and Gypsum Board; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Wood Paneling; Door: Solid Wood Door and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Gypsum Board; Wall: Gypsum Board; Floor: Wood Parquet; Floor: Wood Flooring on Joists; Floor: Terrazzo; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",Frosted Glass and Wood Paneling,Concrete Block (Painted),Solid Wood Door and Concrete Block (Coarse),Wood Parquet,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void"
Roadside-V1,2Bed,12,38.67,night,126,"Window: Large Pane Glass and Gypsum Board; Window: Glass Block and Wood Paneling; Window: Large Pane Glass and Concrete Block (Coarse); Door: Double Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Unpainted Brick; Wall: Gypsum Board; Wall: Fiberglass Board; Floor: Medium Pile Carpet; Floor: Thin Carpet on Wood; Floor: Medium Pile Carpet; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Sprayed Cellulose Fiber (16mm on Solid Backing); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",0.487863,0.611586,3,15.247114,14.346753,0.8,0,14.346753,5.074437,0.621,Gypsum Board,Large Pane Glass and Gypsum Board,Double Pane Glass Door and Concrete Block (Coarse),Medium Pile Carpet,"Plaster Decorative Panels, Ceilings","Window: Large Pane Glass and Gypsum Board; Window: Glass Block and Wood Paneling; Window: Large Pane Glass and Concrete Block (Coarse); Door: Double Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Unpainted Brick; Wall: Gypsum Board; Wall: Fiberglass Board; Floor: Medium Pile Carpet; Floor: Thin Carpet on Wood; Floor: Medium Pile Carpet; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Sprayed Cellulose Fiber (16mm on Solid Backing); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",Large Pane Glass and Gypsum Board,Gypsum Board,Double Pane Glass Door and Concrete Block (Coarse),Medium Pile Carpet,"Plaster Decorative Panels, Ceilings"
GreenEdge-V3,2Bed,12,44.73,day,126,"Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Unpainted Brick; Window: Small Pane Glass and Fiberglass Board; Window: Large Pane Glass and Concrete Block (Coarse); Door: Solid Wood Door and Painted Brick; Wall: Concrete Block (Coarse); Wall: Gypsum Board; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Vinyl Tile; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",0.410548,0.665977,4,15.426966,37.072922,0.8,0,37.072922,28.267597,0.446,Concrete Block (Coarse),Large Pane Glass and Plaster with Wallpaper Backing,Solid Wood Door and Painted Brick,Thick Pile Carpet,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,"Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Unpainted Brick; Window: Small Pane Glass and Fiberglass Board; Window: Large Pane Glass and Concrete Block (Coarse); Door: Solid Wood Door and Painted Brick; Wall: Concrete Block (Coarse); Wall: Gypsum Board; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Floor: Vinyl Tile; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",Large Pane Glass and Plaster with Wallpaper Backing,Concrete Block (Coarse),Solid Wood Door and Painted Brick,Thick Pile Carpet,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens
HD-Urban-V0,2Bed,12,49.76,day,126,"Window: Single Pane Glass and Fiberglass Board; Window: Glass Block and Unpainted Brick; Window: Single Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Sliding Wood Door and Wood Paneling; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.544201,0.577233,4,14.402939,26.820399,0.8,0,26.820399,15.695872,0.543,Wood Paneling,Single Pane Glass and Fiberglass Board,Sliding Wood Door and Wood Paneling,Thick Pile Carpet,Underlay in Perforated Metal Panels (25mm Batts),"Window: Single Pane Glass and Fiberglass Board; Window: Glass Block and Unpainted Brick; Window: Single Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Sliding Wood Door and Wood Paneling; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",Single Pane Glass and Fiberglass Board,Wood Paneling,Sliding Wood Door and Wood Paneling,Thick Pile Carpet,Underlay in Perforated Metal Panels (25mm Batts)
